,City,Date,Lat,Lng,Temperature (F),Humidity,Cloudiness,Wind Speed (mph)
29,new norfolk,1546907400,-42.78,147.06,73.4,33.0,40.0,9.17
30,bethel,1546907880,60.79,-161.76,5.56,86.0,90.0,14.99
31,jamestown,1546908390,-33.21,138.6,74.76,65.0,0.0,5.41
32,illoqqortoormiut,,,,,,,
33,tiksi,1546908591,71.64,128.87,-31.53,53.0,8.0,2.62
34,leningradskiy,1546908545,69.38,178.42,-8.36,82.0,0.0,21.52
35,katsuura,1546905600,33.93,134.5,42.96,80.0,75.0,6.93
36,bredasdorp,1546905600,-34.53,20.04,69.8,68.0,56.0,3.36
37,yancheng,1546908592,33.39,120.14,24.77,81.0,0.0,5.75
38,saint-philippe,1546907700,45.36,-73.48,10.18,62.0,40.0,5.82
39,amay,1546907100,50.55,5.32,46.62,93.0,75.0,17.22
40,palasa,,,,,,,
41,upernavik,1546908593,72.79,-56.15,7.22,100.0,64.0,6.64
42,tevaitoa,1546908593,-16.78,-151.5,82.64,100.0,92.0,9.1
43,east london,1546908593,-33.02,27.91,72.74,95.0,48.0,17.05
44,kyra,,,,,,,
45,puerto ayora,1546905600,-0.74,-90.35,80.6,65.0,20.0,18.34
46,kenai,1546905360,60.55,-151.26,-0.05,82.0,1.0,8.05
47,pisco,1546905600,-13.71,-76.2,75.2,83.0,0.0,12.75
48,vaitupu,,,,,,,
49,lasa,1546905600,34.92,32.53,43.56,87.0,40.0,8.05
50,tosya,1546908595,41.02,34.04,3.21,73.0,44.0,2.39
51,lagoa,1546905600,37.14,-8.45,42.8,93.0,0.0,8.05
52,lorengau,1546908595,-2.02,147.27,84.44,96.0,80.0,14.25
53,cumaribo,,,,,,,
54,rikitea,1546908596,-23.12,-134.97,80.57,95.0,48.0,14.58
55,khandyga,1546908596,62.65,135.58,-38.19,76.0,48.0,2.51
56,ribas do rio pardo,1546908596,-20.45,-53.76,77.69,70.0,36.0,8.32
57,hobart,1546905600,-42.88,147.33,71.6,37.0,75.0,8.05
58,paamiut,1546908597,61.99,-49.67,35.52,87.0,92.0,31.59
59,bluff,1546908597,-23.58,149.07,79.49,66.0,80.0,12.68
60,lebu,1546908597,8.96,38.73,31.74,70.0,0.0,2.62
61,ostrovnoy,1546908597,68.05,39.51,23.19,96.0,92.0,4.97
62,nanortalik,1546908598,60.14,-45.24,34.58,90.0,92.0,28.68
63,yellowknife,1546905600,62.45,-114.38,-23.81,74.0,40.0,6.93
64,labuhan,1546908598,-2.54,115.51,76.02,91.0,92.0,2.95
65,sao filipe,1546908598,14.9,-24.5,73.95,93.0,0.0,9.66
66,dikson,1546908599,73.51,80.55,-4.13,100.0,56.0,15.93
67,luderitz,1546908599,-26.65,15.16,59.15,91.0,8.0,13.8
68,hermanus,1546908599,-34.42,19.24,57.08,96.0,56.0,3.51
69,kodiak,1546907700,39.95,-94.76,46.53,39.0,1.0,11.41
70,fengrun,1546908599,39.83,118.12,9.02,44.0,0.0,8.1
71,viedma,1546908600,-40.81,-62.99,80.61,20.0,0.0,14.03
72,qorveh,1546908600,35.17,47.8,10.5,59.0,0.0,3.85
73,kavaratti,1546908600,10.57,72.64,80.93,100.0,0.0,7.43
74,nushki,1546908600,29.55,66.02,46.37,67.0,0.0,8.88
75,hilo,1546905180,19.71,-155.08,78.98,52.0,1.0,11.41
76,bathsheba,1546905600,13.22,-59.52,78.8,74.0,40.0,14.99
77,svetlogorsk,1546907400,53.14,59.15,-4.01,76.0,0.0,2.24
78,clyde river,1546907940,70.47,-68.59,-11.21,83.0,90.0,19.46
79,erenhot,1546908602,43.65,111.97,-19.56,52.0,0.0,4.29
80,arraial do cabo,1546908602,-22.97,-42.02,79.22,78.0,8.0,23.87
81,georgetown,1546905600,6.8,-58.16,78.66,78.0,75.0,11.41
82,barrow,1546908603,-38.31,-60.23,75.21,44.0,0.0,4.52
83,saldanha,1546908390,41.42,-6.55,19.86,80.0,0.0,3.74
84,saint-joseph,1546905600,43.56,6.97,41.0,65.0,8.0,4.7
85,nilanga,1546908604,18.12,76.75,52.44,58.0,0.0,8.43
86,huambo,1546908604,-12.78,15.73,56.4,98.0,36.0,2.51
87,ribeira grande,1546908605,38.52,-28.7,64.59,93.0,36.0,24.99
88,kondratovo,,,,,,,
89,kapaa,1546905360,22.08,-159.32,80.06,60.0,1.0,11.41
90,kavieng,1546908605,-2.57,150.8,84.57,99.0,76.0,11.34
91,bambous virieux,1546905600,-20.34,57.76,80.6,88.0,40.0,11.41
92,punta arenas,1546905600,-53.16,-70.91,48.2,70.0,75.0,8.05
93,iqaluit,1546905600,63.75,-68.52,-27.41,67.0,20.0,4.7
94,husavik,1546908606,50.56,-96.99,25.49,84.0,0.0,16.49
95,san jose,1546908569,15.79,120.99,72.74,80.0,68.0,4.18
96,aklavik,1546905600,68.22,-135.01,-21.36,74.0,20.0,4.7
97,tigil,1546908607,57.8,158.67,8.3,100.0,88.0,7.65
98,topolobampo,1546904580,25.6,-109.05,68.0,72.0,90.0,18.34
99,muros,1546905600,42.77,-9.06,40.15,86.0,0.0,5.82
100,barentsburg,,,,,,,
101,hithadhoo,1546908608,-0.6,73.08,82.19,100.0,48.0,8.43
102,mar del plata,1546908608,-46.43,-67.52,60.95,44.0,24.0,23.42
103,northam,1546906800,51.04,-4.21,48.96,87.0,40.0,9.17
104,pevek,1546908609,69.7,170.27,-19.52,85.0,0.0,6.08
105,airai,1546908609,-8.93,125.41,76.25,81.0,12.0,1.39
106,adrar,1546905600,27.87,-0.29,44.6,30.0,0.0,10.29
107,sentyabrskiy,,,,,,,
108,norman wells,1546905600,65.28,-126.83,-32.81,73.0,75.0,2.24
109,port hawkesbury,1546905660,45.62,-61.36,21.2,67.0,90.0,17.22
110,cape town,1546905600,-33.93,18.42,66.2,77.0,20.0,13.87
111,dibulla,1546908610,11.27,-73.31,78.5,91.0,32.0,9.66
112,punta alta,1546908575,-27.46,-55.82,75.44,94.0,92.0,4.07
113,kandrian,1546908611,-6.21,149.55,84.75,80.0,44.0,5.75
114,prince rupert,1546906140,54.32,-130.32,33.8,80.0,90.0,11.41
115,riachao,1546908611,-7.36,-46.62,75.08,59.0,44.0,5.41
116,beyneu,1546908611,45.32,55.19,26.79,96.0,92.0,8.77
117,rundu,1546908612,-17.91,19.77,71.16,77.0,12.0,2.28
118,usinsk,1546908612,66.0,57.56,-1.88,81.0,76.0,12.8
119,moose factory,1546906380,51.26,-80.61,15.8,85.0,90.0,18.34
120,kanniyakumari,1546908613,8.08,77.57,78.99,100.0,32.0,15.26
121,ngukurr,,,,,,,
122,iquitos,1546905600,-3.75,-73.25,77.0,88.0,75.0,4.7
123,nuuk,1546908613,64.17,-51.74,17.3,100.0,92.0,6.98
124,avarua,1546905600,-21.21,-159.78,80.6,61.0,75.0,9.17
125,port alfred,1546908613,-33.59,26.89,71.07,89.0,88.0,11.23
126,port-cartier,1546905600,50.03,-66.88,-4.01,53.0,5.0,5.82
127,saskylakh,1546908614,71.97,114.09,-39.5,0.0,12.0,10.33
128,petropavlovsk-kamchatskiy,1546907400,53.05,158.65,28.4,46.0,68.0,22.37
129,henties bay,1546908614,-22.12,14.28,62.03,100.0,80.0,5.75
130,gorontalo,1546908615,0.54,123.06,78.0,88.0,12.0,2.51
131,jinotega,1546908330,13.09,-86.0,68.15,79.0,68.0,2.28
132,maneromango,1546905600,-7.2,38.78,82.4,78.0,40.0,9.17
133,vaini,1546905600,15.34,74.49,60.8,67.0,0.0,4.7
134,lungi,1546908616,9.22,-12.68,74.09,61.0,68.0,3.62
135,kaitangata,1546908616,-46.28,169.85,64.77,60.0,24.0,17.83
136,cidreira,1546908616,-30.17,-50.22,84.44,67.0,44.0,14.81
137,qaqortoq,1546908616,60.72,-46.03,37.32,83.0,48.0,34.94
138,artyom,1546907400,43.36,132.19,3.2,65.0,0.0,6.31
139,torbay,1546906920,47.66,-52.73,24.8,79.0,90.0,17.22
140,piojo,,,,,,,
141,ausa,1546908617,18.25,76.5,52.44,58.0,0.0,8.43
142,haimen,1546908617,31.87,121.18,39.44,100.0,48.0,10.67
143,codrington,1546905600,-28.95,153.24,80.01,65.0,40.0,6.93
144,srednekolymsk,1546908618,67.46,153.71,-25.73,39.0,88.0,3.06
145,belushya guba,,,,,,,
146,san carlos de bariloche,1546905600,-41.13,-71.31,48.2,81.0,75.0,24.16
147,ajka,1546906500,47.11,17.56,25.48,92.0,90.0,2.24
148,karaton,1546907400,-6.34,106.1,82.4,74.0,40.0,3.36
149,hudson bay,1546908619,52.86,-102.4,15.99,74.0,92.0,10.22
150,carnot,1546908619,4.94,15.87,67.34,59.0,36.0,3.62
151,khonuu,,,,,,,
152,ust-maya,1546908619,60.42,134.54,-28.25,44.0,48.0,2.62
153,mahibadhoo,1546908620,3.78,72.97,81.42,100.0,0.0,13.8
154,honningsvag,1546908620,70.98,25.97,34.04,100.0,68.0,17.49
155,nelson bay,1546907400,-32.72,152.14,84.2,54.0,75.0,6.93
156,san patricio,1546908620,-26.98,-56.83,76.97,95.0,92.0,3.62
157,tuatapere,1546908621,-46.13,167.69,60.59,82.0,12.0,13.69
158,namibe,1546908621,-15.19,12.15,72.6,100.0,8.0,7.65
159,port macquarie,1546905600,-31.43,152.91,82.4,51.0,76.0,9.17
160,dinghai,1546905600,26.28,119.79,55.4,87.0,90.0,17.9
161,ponta do sol,1546908621,-20.63,-46.0,74.27,66.0,0.0,5.64
162,mayo,1546905600,63.59,-135.9,-22.01,74.0,75.0,2.62
163,gananoque,1546906500,44.33,-76.16,22.3,62.0,90.0,13.87
164,novopokrovka,1546908622,45.85,134.51,-10.11,52.0,12.0,3.29
165,aykhal,1546908623,65.95,111.51,-11.51,70.0,56.0,4.74
166,oinoussai,,,,,,,
167,saint george,1546905000,39.45,22.34,24.94,73.0,20.0,4.7
168,anadyr,1546905600,64.73,177.51,12.2,61.0,0.0,38.03
169,amderma,,,,,,,
170,chimoio,1546905600,-19.11,33.48,69.8,100.0,75.0,6.93
171,coquimbo,1546905600,-29.95,-71.34,64.4,77.0,90.0,8.05
172,shache,1546908624,38.42,77.24,17.03,88.0,88.0,3.29
173,cejkovice,1546906260,48.91,16.94,26.6,100.0,90.0,4.7
174,sorland,1546908624,67.67,12.69,40.52,100.0,88.0,26.89
175,mahebourg,1546905600,-20.41,57.7,80.6,88.0,40.0,11.41
176,poopo,1546908625,-18.38,-66.97,55.5,61.0,0.0,5.3
177,barawe,,,,,,,
178,sioux lookout,1546905600,50.1,-91.92,30.94,89.0,90.0,9.17
179,tumannyy,,,,,,,
180,pacific grove,1546906800,36.62,-121.92,59.29,77.0,1.0,5.82
181,victoria,1546907400,5.28,115.24,83.3,78.0,75.0,5.82
182,lolua,,,,,,,
183,tugulym,1546907400,57.06,64.64,1.4,84.0,0.0,15.66
184,sept-iles,1546905600,50.2,-66.38,-4.01,53.0,5.0,5.82
185,castro,1546905600,-42.48,-73.76,50.0,71.0,20.0,10.29
186,provideniya,1546908628,64.42,-173.23,3.17,100.0,0.0,30.24
187,samusu,,,,,,,
188,souillac,1546905600,45.6,-0.6,41.77,93.0,90.0,2.24
189,russell,1546908629,-33.01,-68.8,63.38,49.0,0.0,3.29
190,upata,1546908629,8.02,-62.41,75.62,78.0,92.0,9.33
191,faya,1546905600,18.39,42.45,50.05,72.0,0.0,4.7
192,ngunguru,1546908630,-35.62,174.5,71.34,91.0,44.0,7.31
193,atar,1546908630,20.52,-13.05,56.85,33.0,32.0,7.09
194,cascas,1546908630,-7.48,-78.82,52.62,95.0,76.0,1.61
195,vardo,1546906800,39.62,-77.74,34.93,53.0,1.0,11.41
196,lund,1546906800,55.7,13.19,43.09,100.0,90.0,17.22
197,puerto del rosario,1546907400,28.5,-13.86,63.39,72.0,0.0,13.87
198,lhokseumawe,1546908631,5.18,97.15,81.65,100.0,44.0,4.74
199,kashan,1546908632,33.99,51.44,25.85,68.0,0.0,1.05
200,vestmanna,1546906800,62.16,-7.17,37.4,74.0,36.0,24.16
201,cabo san lucas,1546905120,22.89,-109.91,73.31,73.0,40.0,4.7
202,grand-santi,1546908633,4.27,-54.38,72.47,100.0,80.0,2.17
203,babanusah,,,,,,,
204,quarai,1546908385,-30.39,-56.45,73.55,86.0,56.0,9.33
205,bhinmal,1546908633,25.01,72.27,45.47,88.0,0.0,5.75
206,myaundzha,1546908633,63.05,147.18,-47.06,0.0,48.0,2.62
207,ciudad guayana,1546908634,8.32,-62.69,83.94,60.0,92.0,9.22
208,padang,1546908634,-0.92,100.36,81.92,100.0,12.0,3.29
209,nanchang,1546908634,28.68,115.89,37.73,99.0,44.0,6.64
210,sharjah,1546905600,25.36,55.39,62.01,52.0,0.0,3.36
211,gold coast,1546907400,-28.0,153.41,78.8,74.0,90.0,10.29
212,brownsville,1546907700,25.91,-97.49,73.51,65.0,40.0,11.41
213,barranca,1546908635,-10.75,-77.76,71.03,100.0,0.0,7.76
214,mount gambier,1546905600,-37.83,140.78,68.0,52.0,40.0,8.05
215,taolanaro,,,,,,,
216,tucuma,,,,,,,
217,bengkulu,,,,,,,
218,atambua,1546908636,-9.11,124.89,79.62,100.0,64.0,3.4
219,shitkino,1546908636,56.37,98.35,18.96,71.0,44.0,9.1
220,guerrero negro,1546908636,27.97,-114.04,68.15,55.0,12.0,2.84
221,cao bang,1546908637,22.67,106.25,52.85,100.0,92.0,3.4
222,grand river south east,,,,,,,
223,atbasar,1546908637,51.81,68.36,10.19,78.0,80.0,4.07
224,acapulco,1546904940,16.86,-99.88,82.4,74.0,90.0,8.05
225,tahta,,,,,,,
226,montepuez,1546908638,-13.13,39.0,73.55,98.0,48.0,4.74
227,palabuhanratu,,,,,,,
228,kutum,1546908638,14.2,24.66,51.99,33.0,0.0,9.78
229,thompson,1546905600,55.74,-97.86,17.6,85.0,90.0,9.17
230,hami,1546908639,42.84,93.51,-3.18,47.0,0.0,5.64
231,wulanhaote,,,,,,,
232,nandigama,1546907400,16.78,80.29,64.4,93.0,0.0,4.63
233,mergui,,,,,,,
234,waidhofen,1546907220,48.58,11.34,33.8,95.0,75.0,10.29
235,magole,1546905600,-6.37,37.37,75.2,83.0,40.0,2.73
236,pangody,1546908640,65.85,74.49,-3.95,77.0,36.0,13.91
237,gejiu,1546908640,23.36,103.16,53.3,98.0,92.0,2.28
238,port lincoln,1546908516,-34.72,135.86,65.76,91.0,32.0,9.78
239,cherskiy,1546908640,68.75,161.3,-18.35,27.0,0.0,6.31
240,manaus,1546905600,-3.13,-59.98,76.08,94.0,20.0,4.7
241,nizhneyansk,,,,,,,
242,mehamn,1546908641,71.03,27.85,29.18,86.0,24.0,10.56
243,channel-port aux basques,1546908641,47.57,-59.14,28.1,100.0,20.0,38.52
244,alofi,1546908642,-19.06,-169.92,77.42,100.0,88.0,12.01
245,dok kham tai,1546908642,19.16,99.99,65.67,99.0,92.0,2.62
246,hillsborough,1546908000,37.57,-122.38,58.93,87.0,90.0,8.05
247,ngorongoro,1546908642,-3.24,35.49,56.0,99.0,36.0,2.62
248,puerto baquerizo moreno,1546905600,-0.9,-89.6,77.0,88.0,0.0,11.41
249,matoury,1546907400,4.85,-52.33,78.8,78.0,40.0,8.05
250,saint-francois,1546905600,46.42,3.91,37.4,86.0,90.0,3.36
251,hambantota,1546906200,6.12,81.12,71.6,100.0,24.0,5.82
252,mys shmidta,,,,,,,
253,khuzdar,1546908644,27.8,66.62,28.28,83.0,0.0,2.28
254,kruisfontein,1546908644,-34.0,24.73,64.28,93.0,76.0,8.99
255,sorong,1546908644,-0.86,131.25,82.28,100.0,56.0,11.01
256,kayes,1546908645,14.44,-11.44,71.25,31.0,92.0,8.43
257,cordoba,1546908645,5.59,-73.79,55.41,97.0,92.0,1.95
258,obarsia-closani,,,,,,,
259,ilulissat,1546905000,69.22,-51.1,14.0,78.0,56.0,9.17
260,fernandopolis,1546908646,-20.28,-50.25,81.96,48.0,0.0,7.87
261,hasaki,1546907400,35.73,140.83,37.4,59.0,40.0,4.7
262,mende,1546908646,44.52,3.5,13.79,79.0,8.0,2.39
263,posyet,1546908647,42.65,130.8,13.43,100.0,0.0,14.36
264,atherton,1546906800,53.52,-2.49,44.55,81.0,75.0,14.99
265,cayenne,1546907400,4.94,-52.33,78.8,78.0,40.0,8.05
266,tuktoyaktuk,1546905600,69.44,-133.03,-22.01,74.0,40.0,4.7
267,samarai,1546908648,-10.62,150.67,81.24,100.0,68.0,19.84
268,comodoro rivadavia,1546905600,-45.87,-67.48,62.6,81.0,75.0,24.16
269,beipiao,1546908649,41.8,120.76,8.84,28.0,0.0,17.05
270,namwala,1546908649,-15.75,26.45,67.07,97.0,20.0,6.2
271,paramonga,1546908650,-10.68,-77.82,71.03,100.0,0.0,7.76
272,zurrieq,1546906500,35.83,14.47,48.2,70.0,0.0,5.82
273,yen bai,1546908650,21.7,104.87,62.48,100.0,92.0,3.96
274,port elizabeth,1546905360,39.31,-74.98,33.15,60.0,1.0,6.76
275,calbuco,1546905600,-41.77,-73.13,51.8,87.0,75.0,6.93
276,beterou,1546908651,9.2,2.26,70.85,36.0,24.0,9.44
277,richards bay,1546908651,-28.77,32.06,66.35,95.0,68.0,5.86
278,esperance,1546905600,10.24,-61.45,77.0,83.0,20.0,5.82
279,santa rosalia,1546906800,38.07,13.27,48.2,70.0,0.0,5.82
280,bardiyah,,,,,,,
281,porosozero,1546908652,62.72,32.71,18.87,86.0,20.0,5.75
282,lompoc,1546906500,34.64,-120.46,60.26,77.0,1.0,8.05
283,sohag,1546905600,26.55,31.7,46.4,61.0,0.0,5.82
284,salalah,1546905000,17.01,54.1,73.4,69.0,75.0,4.7
285,lata,1546908653,30.78,78.62,23.55,76.0,0.0,2.28
286,marawi,1546908653,8.0,124.29,70.62,81.0,0.0,3.06
287,khatanga,1546908654,71.98,102.47,-17.45,75.0,36.0,12.68
288,flinders,1546905600,-34.58,150.85,73.4,94.0,75.0,5.82
289,pizarro,1546908654,4.95,-77.37,76.56,100.0,92.0,1.83
290,bintulu,1546905600,3.17,113.03,80.6,94.0,75.0,3.4
291,ulladulla,1546905600,-35.36,150.48,73.4,94.0,75.0,5.82
292,olinda,1546905600,-2.03,-79.75,78.8,88.0,75.0,10.29
293,turbat,1546908655,26.0,63.05,48.98,83.0,0.0,3.06
294,saint-pierre,1546905600,48.95,4.24,42.17,100.0,90.0,19.46
295,vasto,1546905000,42.12,14.71,39.2,86.0,8.0,4.7
296,camocim,1546908656,-2.9,-40.84,72.02,99.0,76.0,3.62
297,aksarka,1546908657,66.56,67.8,-19.07,55.0,8.0,2.17
298,biloela,1546908657,-24.4,150.51,73.41,83.0,92.0,9.89
299,fukue,1546907400,35.03,136.69,44.6,65.0,75.0,6.93
300,doha,1546907400,25.29,51.53,64.42,77.0,0.0,5.82
301,morros,1546905600,-2.87,-44.04,75.2,94.0,40.0,1.12
302,college,1546905480,64.86,-147.8,-34.61,68.0,20.0,3.4
303,mirnyy,1546908658,56.57,36.46,14.87,87.0,88.0,14.7
304,horsham,1546908658,-36.71,142.2,71.48,77.0,80.0,6.98
305,huilong,1546908658,28.89,110.18,30.17,92.0,92.0,2.51
306,longyearbyen,1546905000,78.22,15.63,21.2,79.0,40.0,38.03
307,barra do garcas,1546908659,-15.89,-52.26,77.46,80.0,44.0,4.29
308,mareeba,1546907400,-16.99,145.42,87.8,58.0,75.0,8.05
309,bago,1546907400,17.34,96.48,69.8,94.0,90.0,2.24
310,grinnell,1546907700,41.74,-92.72,38.68,93.0,1.0,6.93
311,matara,1546908660,-13.74,-72.9,46.41,93.0,36.0,1.72
312,chake chake,1546908660,-5.25,39.77,82.37,96.0,44.0,15.82
313,ancud,1546905600,-41.87,-73.83,50.0,71.0,20.0,10.29
314,carballo,1546905600,43.21,-8.69,36.61,100.0,0.0,5.82
315,kolosovka,1546908661,56.47,73.61,9.65,82.0,56.0,11.9
316,hay river,1546905600,60.82,-115.79,-9.41,69.0,75.0,9.17
317,neiafu,1546905600,-18.65,-173.98,82.4,94.0,75.0,9.17
318,kosh-agach,1546908661,49.99,88.66,-29.19,36.0,0.0,2.62
319,casale monferrato,1546906800,45.14,8.45,32.81,92.0,0.0,5.82
320,laguna,1546904580,27.52,-110.01,69.8,68.0,90.0,9.17
321,lalsk,1546908662,60.74,47.59,19.28,84.0,88.0,15.48
322,rodrigues alves,1546905600,-7.74,-72.65,73.4,100.0,90.0,4.18
323,beloha,1546908663,-25.17,45.06,68.6,93.0,0.0,3.4
324,port moresby,1546905600,-9.47,147.16,82.4,83.0,75.0,17.22
325,le port,1546908664,42.87,1.37,9.96,68.0,32.0,1.72
326,bandarbeyla,1546908664,9.49,50.81,76.34,100.0,88.0,17.83
327,omboue,1546908664,-1.57,9.26,81.2,100.0,32.0,7.76
328,sakakah,,,,,,,
329,nevelsk,1546907400,46.67,141.86,-0.41,84.0,20.0,2.17
330,yanan,,,,,,,
331,san policarpo,1546908665,12.18,125.51,78.99,92.0,88.0,15.26
332,pitimbu,1546905600,-7.47,-34.81,78.8,83.0,40.0,8.05
333,carnarvon,1546908665,-30.97,22.13,69.95,19.0,64.0,8.43
334,eufaula,1546906500,31.89,-85.15,55.08,83.0,1.0,4.74
335,lagoa formosa,1546908666,-18.77,-46.41,71.25,82.0,20.0,3.18
336,tessalit,1546908666,20.2,1.01,51.5,31.0,12.0,9.22
337,lumbac,1546908666,7.73,124.25,70.62,81.0,0.0,3.06
338,algeciras,1546907400,36.13,-5.45,47.52,93.0,20.0,5.82
339,tapaua,,,,,,,
340,athabasca,1546908442,54.72,-113.29,5.78,69.0,32.0,15.7
341,sur,1546908667,22.57,59.53,68.87,100.0,0.0,5.19
342,quatre cocos,1546905600,-20.21,57.76,80.6,88.0,40.0,11.41
343,taoudenni,1546908668,22.68,-3.98,50.42,33.0,64.0,10.89
344,vestmannaeyjar,1546908450,63.44,-20.27,36.47,100.0,0.0,7.54
345,neepawa,1546907580,50.23,-99.46,21.2,79.0,90.0,26.4
346,ust-uda,1546908668,54.17,103.03,-3.81,61.0,56.0,4.29
347,geraldton,1546905600,49.72,-86.95,23.0,92.0,90.0,5.82
348,rungata,,,,,,,
349,baykit,1546908669,61.68,96.39,5.1,79.0,64.0,6.31
350,bonthe,1546908669,7.53,-12.5,82.1,72.0,88.0,4.97
351,riyadh,1546905600,24.63,46.72,53.6,54.0,5.0,2.24
352,erzurum,1546906800,39.91,41.27,21.2,92.0,75.0,6.93
353,butaritari,1546908670,3.07,172.79,80.16,100.0,48.0,5.41
354,camacha,1546905600,33.08,-16.33,60.8,63.0,40.0,10.29
355,atkinson,1546907700,41.42,-90.02,44.31,88.0,1.0,4.7
356,tsihombe,,,,,,,
357,ravar,1546908671,31.27,56.81,52.04,51.0,0.0,4.74
358,manokwari,1546908671,-0.87,134.08,78.27,100.0,68.0,3.4
359,mercedes,1546908671,-33.25,-58.03,68.87,90.0,0.0,8.88
360,ossora,1546908671,59.24,163.07,29.72,90.0,88.0,28.12
361,lapua,1546906800,62.97,23.01,29.23,100.0,90.0,2.24
362,martapura,1546905600,-3.41,114.85,78.8,94.0,40.0,2.24
363,racoasa,1546905600,46.0,26.88,17.6,78.0,40.0,6.93
364,skage,,,,,,,
365,constitucion,1546904880,23.99,-104.67,73.4,25.0,40.0,2.95
366,thunder bay,1546905600,48.41,-89.26,32.0,94.0,90.0,4.7
367,klaksvik,1546906800,62.23,-6.59,37.4,74.0,24.0,24.16
368,ji-parana,,,,,,,
369,kholm-zhirkovskiy,1546908674,55.52,33.47,11.45,88.0,68.0,10.78
370,deputatskiy,1546908674,69.3,139.9,-46.34,0.0,48.0,2.62
371,maua,1546908674,0.23,37.94,56.4,66.0,36.0,2.39
372,naron,1546905600,43.52,-8.15,33.8,100.0,0.0,5.82
373,partenit,1546908642,44.58,34.34,32.19,100.0,88.0,4.52
374,samalaeulu,,,,,,,
375,los llanos de aridane,1546907400,28.66,-17.92,62.6,51.0,36.0,10.29
376,zhanaozen,1546908675,43.35,52.85,26.3,80.0,88.0,9.22
377,acandi,1546908676,8.51,-77.28,76.07,98.0,88.0,2.84
378,southbridge,1546905360,42.08,-72.03,23.22,44.0,1.0,2.84
379,namtsy,1546907400,62.72,129.66,-47.21,57.0,20.0,4.47
380,magan,1546907400,62.1,129.53,-47.21,57.0,24.0,4.47
381,paradwip,,,,,,,
382,maldonado,1546905600,-34.91,-54.96,64.4,88.0,75.0,11.41
383,klyuchi,1546908677,52.25,79.17,8.3,66.0,68.0,8.55
384,oktyabrskiy,1546907400,55.61,37.97,12.22,85.0,75.0,6.71
385,marcona,,,,,,,
386,waipawa,1546908678,-39.94,176.59,73.86,54.0,0.0,1.5
387,dargaville,1546908678,-35.94,173.86,74.4,68.0,56.0,8.77
388,lethem,1546908678,3.38,-59.8,85.02,55.0,12.0,18.28
389,nantucket,1546907700,41.28,-70.1,25.03,38.0,1.0,4.7
390,namatanai,1546908678,-3.66,152.44,85.29,95.0,48.0,12.91
391,vila velha,1546905600,-3.71,-38.6,80.6,83.0,20.0,4.7
392,lodwar,1546908679,3.12,35.6,70.04,45.0,80.0,2.39
393,terrace,1546906860,54.52,-128.61,23.0,100.0,90.0,2.24
394,zajecar,1546908679,43.9,22.28,12.8,82.0,36.0,6.2
395,bayan,1546908680,47.25,107.54,-25.19,32.0,0.0,3.4
396,isfana,1546907400,39.84,69.53,37.4,69.0,75.0,11.18
397,alotau,,,,,,,
398,jijiga,1546908680,9.35,42.8,34.71,75.0,8.0,1.83
399,gayny,1546908680,60.3,54.33,16.58,84.0,92.0,11.01
400,kasungu,1546908681,-13.04,33.48,65.72,97.0,56.0,1.5
